transaction_id,transaction_date,customer_id,account_type,transaction_type,amount,currency,merchant,transaction_status
99999,2022-01-01,2879,Checking,Credit,2508.53,USD,Target,Completed
99999,2022-12-31,999999,Savings,Debit,3370.71,USD,Target,Completed
100002,2022-01-01,999999,Savings,Debit,2050.50,USD,Walmart,Completed
100004,2024-02-09,999999,Checking,Debit,2652.77,USD,Walmart,Completed
100005,2022-12-31,3078,Checking,Credit,3752.68,USD,Target,Completed
100006,2022-08-18,999999,Savings,Credit,642.45,USD,Target,Completed
100006,2022-10-10,3819,Checking,Credit,4623.95,USD,Unknown,Completed
100008,2023-04-21,999999,Savings,Debit,2071.71,USD,Amazon,Completed
100009,2022-07-04,999999,Checking,Debit,2071.36,USD,Walmart,Completed
100008,2024-01-07,2486,checking,Debit,2004.96,USD,Amazon,Completed
100011,2022-12-31,999999,checking,Debit,4837.69,USD,Walmart,Completed
100011,2022-09-14,999999,Checking,Credit,2645.56,USD,Unknown,Completed
100012,2022-01-09,2092,Checking,Credit,1347.31,USD,Target,Completed
100014,2023-08-06,999999,Savings,Debit,1428.14,USD,Amazon,Completed
100014,2022-08-27,999999,checking,Credit,732.48,USD,Target,Completed
100016,2023-11-07,999999,Checking,Debit,1373.31,USD,Unknown,Completed
100017,2022-02-28,2109,checking,Debit,1861.38,USD,Unknown,Completed
100017,2022-01-01,999999,Checking,Credit,3270.95,USD,Unknown,Completed
100019,2024-03-07,999999,Savings,Debit,2300.30,USD,Unknown,Completed
100020,2023-12-09,999999,Checking,Debit,344.42,USD,Walmart,Completed
100020,2023-09-13,999999,checking,Debit,3114.44,USD,Amazon,Completed
100021,2022-12-31,999999,Savings,Debit,934.82,USD,Walmart,Completed
100022,2022-01-01,999999,Savings,Credit,1231.32,USD,Amazon,Completed
100023,2024-02-04,999999,Credit,Debit,2577.86,USD,Target,Completed
100024,2022-01-01,999999,Savings,Credit,2335.95,USD,Target,Completed
100024,2022-12-31,4526,Checking,Debit,458.54,USD,Unknown,Completed
100027,2022-12-31,999999,Savings,Debit,4623.99,USD,Walmart,Completed
100025,2023-06-22,999999,Credit,Credit,4544.44,USD,Walmart,Completed
100029,2023-01-28,2118,checking,Debit,157.84,USD,Unknown,Completed
100028,2022-12-31,999999,Checking,Debit,1649.56,USD,Unknown,Completed
100031,2023-12-20,999999,checking,Credit,2827.12,USD,Amazon,Completed
100032,2022-01-01,999999,Checking,Debit,3148.84,USD,Walmart,Completed
100033,2023-12-16,999999,Savings,Debit,4854.88,USD,Walmart,Completed
100032,2022-01-29,3065,Savings,Credit,1437.16,USD,Walmart,Completed
100034,2022-12-31,3411,checking,Credit,681.85,USD,Walmart,Completed
100034,2022-01-01,999999,checking,Credit,3782.64,USD,Walmart,Completed
100035,2022-01-01,999999,Checking,Credit,1550.31,USD,Walmart,Completed
100036,2024-01-19,3178,checking,Debit,3328.06,USD,Amazon,Completed
100036,2022-01-01,999999,Checking,Debit,4481.94,USD,Target,Completed
100040,2022-12-31,2054,checking,Credit,3543.22,USD,Target,Completed
100041,2022-05-09,999999,Savings,Debit,2075.32,USD,Amazon,Completed
